alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2,Absolute Time
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.424415
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.434416
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.444415
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.454416
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.464418
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.474418
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.484417
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.494418
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.504417
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.514420
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.524420
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.534420
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.544420
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.554420
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.564421
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.574421
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.584421
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.594420
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.604421
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.614421
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.624422
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.634422
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.644424
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.654423
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.664424
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.674423
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.684424
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.694424
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.704425
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.714424
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.724425
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.734425
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.744426
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.754426
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.764428
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.774427
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.784428
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.794428
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.804427
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.814426
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.824430
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.834429
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.844430
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.854430
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.864430
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.874430
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.884432
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.894430
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.904431
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.914432
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.924432
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.934433
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.944434
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.954433
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.964434
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.974434
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.984434
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094850.994434
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.004436
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.014435
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.024436
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.034437
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.044436
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.054436
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.064438
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.074436
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.084437
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.094438
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.104438
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.114438
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.124439
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.134438
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.144441
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.154439
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.164440
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.174440
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.184441
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.194441
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.204440
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.214442
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.224442
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.234442
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.244444
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.254444
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.264445
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.274444
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.284445
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.294444
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.304445
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.314445
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.324446
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.334445
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.344446
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.354447
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.364448
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.374446
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.384448
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.394447
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.404448
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.414449
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.424449
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.434449
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.444450
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.454449
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.464450
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.474450
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.484452
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.494451
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.504450
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.514453
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.524452
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.534453
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.544454
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.554453
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.564454
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.574454
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.584454
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.594454
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.604455
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.614455
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.624455
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.634456
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.644456
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.654456
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.664457
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.674456
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.684457
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.694457
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.704458
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.714458
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.724460
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.734458
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.744461
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.754460
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.764460
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.774461
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.784462
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.794462
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.804461
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3570094851.814459
