Absolute Time,X,k_psi,x_in,uhat,uin,utilde
3570096077.991251,-0.000000,1.000000,1.944587,0.059382,0.059214,0.000168
3570096078.001251,-0.000000,1.000000,1.945179,0.059357,0.059191,0.000166
3570096078.011251,-0.000000,1.000000,1.945770,0.059333,0.059168,0.000164
3570096078.021251,-0.000000,1.000000,1.946362,0.059308,0.059146,0.000163
3570096078.031252,-0.000000,1.000000,1.946953,0.059284,0.059123,0.000161
3570096078.041253,-0.000000,1.000000,1.947544,0.059259,0.059100,0.000159
3570096078.051254,-0.000000,1.000000,1.948134,0.059235,0.059077,0.000158
3570096078.061252,-0.000000,1.000000,1.948725,0.059210,0.059054,0.000156
3570096078.071253,-0.000000,1.000000,1.949315,0.059186,0.059032,0.000154
3570096078.081254,-0.000000,1.000000,1.949905,0.059162,0.059009,0.000153
3570096078.091254,-0.000000,1.000000,1.950495,0.059137,0.058986,0.000151
3570096078.101254,-0.000000,1.000000,1.951084,0.059113,0.058963,0.000150
3570096078.111256,-0.000000,1.000000,1.951674,0.059089,0.058941,0.000148
3570096078.121254,-0.000000,1.000000,1.952263,0.059064,0.058918,0.000147
3570096078.131252,-0.000000,1.000000,1.952852,0.059040,0.058895,0.000145
3570096078.141256,-0.000000,1.000000,1.953440,0.059016,0.058872,0.000144
3570096078.151255,-0.000000,1.000000,1.954029,0.058992,0.058850,0.000142
3570096078.161255,-0.000000,1.000000,1.954617,0.058968,0.058827,0.000141
3570096078.171257,-0.000000,1.000000,1.955205,0.058943,0.058804,0.000139
3570096078.181257,-0.000000,1.000000,1.955792,0.058919,0.058782,0.000138
3570096078.191257,-0.000000,1.000000,1.956380,0.058895,0.058759,0.000136
3570096078.201258,-0.000000,1.000000,1.956967,0.058871,0.058736,0.000135
3570096078.211257,-0.000000,1.000000,1.957554,0.058847,0.058714,0.000133
3570096078.221258,-0.000000,1.000000,1.958141,0.058823,0.058691,0.000132
3570096078.231259,-0.000000,1.000000,1.958727,0.058799,0.058668,0.000131
3570096078.241260,-0.000000,1.000000,1.959314,0.058775,0.058646,0.000129
3570096078.251259,-0.000000,1.000000,1.959900,0.058751,0.058623,0.000128
3570096078.261259,-0.000000,1.000000,1.960486,0.058727,0.058601,0.000127
3570096078.271260,-0.000000,1.000000,1.961071,0.058703,0.058578,0.000125
3570096078.281259,-0.000000,1.000000,1.961657,0.058679,0.058555,0.000124
3570096078.291261,-0.000000,1.000000,1.962242,0.058656,0.058533,0.000123
3570096078.301261,-0.000000,1.000000,1.962827,0.058632,0.058510,0.000122
3570096078.311261,-0.000000,1.000000,1.963412,0.058608,0.058488,0.000120
3570096078.321261,-0.000000,1.000000,1.963996,0.058584,0.058465,0.000119
3570096078.331261,-0.000000,1.000000,1.964581,0.058560,0.058442,0.000118
3570096078.341263,-0.000000,1.000000,1.965165,0.058537,0.058420,0.000117
3570096078.351263,-0.000000,1.000000,1.965749,0.058513,0.058397,0.000115
3570096078.361263,-0.000000,1.000000,1.966332,0.058489,0.058375,0.000114
3570096078.371262,-0.000000,1.000000,1.966916,0.058465,0.058352,0.000113
3570096078.381264,-0.000000,1.000000,1.967499,0.058442,0.058330,0.000112
3570096078.391263,-0.000000,1.000000,1.968082,0.058418,0.058307,0.000111
3570096078.401264,-0.000000,1.000000,1.968665,0.058394,0.058285,0.000110
3570096078.411264,-0.000000,1.000000,1.969247,0.058371,0.058262,0.000108
3570096078.421264,-0.000000,1.000000,1.969829,0.058347,0.058240,0.000107
3570096078.431262,-0.000000,1.000000,1.970411,0.058324,0.058217,0.000106
3570096078.441266,-0.000000,1.000000,1.970993,0.058300,0.058195,0.000105
3570096078.451265,-0.000000,1.000000,1.971575,0.058277,0.058173,0.000104
3570096078.461265,-0.000000,1.000000,1.972156,0.058253,0.058150,0.000103
3570096078.471268,-0.000000,1.000000,1.972737,0.058230,0.058128,0.000102
3570096078.481266,-0.000000,1.000000,1.973318,0.058206,0.058105,0.000101
3570096078.491266,-0.000000,1.000000,1.973899,0.058183,0.058083,0.000100
