Absolute Time,X,k_psi,x_in,uhat,uin,utilde
3570099325.525614,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.535615,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.545615,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.555614,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.565615,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.575615,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.585617,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.595615,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.605617,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.615617,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.625617,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.635618,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.645619,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.655617,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.665618,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.675618,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.685618,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.695620,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.705621,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.715620,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.725620,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.735622,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.745622,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.755622,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.765622,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.775623,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.785623,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.795623,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.805623,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.815621,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.825625,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.835626,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.845625,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.855625,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.865624,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.875625,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.885625,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.895626,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.905626,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.915626,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.925626,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.935628,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.945629,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.955628,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.965628,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.975629,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.985629,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099325.995629,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.005630,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.015630,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.025630,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.035631,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.045632,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.055631,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.065632,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.075633,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.085632,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.095632,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.105633,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.115633,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.125634,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.135635,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.145636,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.155635,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.165636,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.175636,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.185636,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.195635,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.205636,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.215637,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.225636,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.235638,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.245639,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.255638,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.265638,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.275638,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.285639,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.295639,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.305641,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.315640,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.325640,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.335641,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.345642,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.355641,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.365643,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.375642,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.385642,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.395643,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.405643,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.415643,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.425644,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.435644,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.445645,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.455646,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.465645,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.475646,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.485645,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.495646,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.505647,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.515646,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.525647,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.535648,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.545649,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.555648,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.565648,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.575648,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.585649,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.595649,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.605650,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.615651,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.625649,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.635651,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.645651,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.655653,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.665652,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.675651,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.685652,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.695652,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.705653,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.715652,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.725654,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.735654,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.745654,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.755655,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.765655,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.775655,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.785655,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3570099326.795655,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
