Absolute Time,X,k_psi,x_in,uhat,uin,utilde
3570099116.521117,-0.000000,2.000000,0.000000,0.000000,0.000000,0.000000
3570099116.531117,-0.000000,2.000000,0.000000,0.000000,0.000000,0.000000
3570099116.541117,-0.000000,2.000000,0.000000,0.000000,0.000000,0.000000
3570099116.551117,-0.000000,2.000000,0.000000,0.000000,0.000000,0.000000
3570099116.561118,-0.000000,2.000000,0.000000,0.000000,0.000000,0.000000
3570099116.571118,0.113407,2.000000,0.000000,0.000000,0.000000,0.000000
3570099116.581119,0.113407,2.000000,0.000000,0.000000,0.000000,0.000000
3570099116.591119,0.319620,2.000000,0.000000,0.000000,0.000000,0.000000
3570099116.601120,0.319620,2.000000,0.000000,0.000000,0.000000,0.000000
3570099116.611116,0.597980,2.000000,0.000001,0.000568,0.000068,0.000501
3570099116.621121,0.597980,2.000000,0.000004,0.000959,0.000135,0.000824
3570099116.631121,0.896939,2.000000,0.000008,0.001345,0.000325,0.001019
3570099116.641122,1.000000,2.000000,0.000015,0.001926,0.000516,0.001411
3570099116.651121,1.000000,2.000000,0.000025,0.002570,0.000871,0.001699
3570099116.661121,1.000000,2.000000,0.000040,0.003208,0.001227,0.001981
3570099116.671121,1.000000,2.000000,0.000061,0.003843,0.001761,0.002082
3570099116.681121,1.000000,2.000000,0.000087,0.004475,0.002356,0.002120
3570099116.691123,1.000000,2.000000,0.000120,0.005107,0.002950,0.002157
3570099116.701123,1.000000,2.000000,0.000158,0.005738,0.003544,0.002194
3570099116.711119,1.000000,2.000000,0.000203,0.006368,0.004139,0.002229
3570099116.721124,1.000000,2.000000,0.000253,0.006997,0.004732,0.002265
3570099116.731123,1.000000,2.000000,0.000309,0.007625,0.005326,0.002299
3570099116.741123,1.000000,2.000000,0.000371,0.008253,0.005919,0.002333
3570099116.751124,1.000000,2.000000,0.000439,0.008879,0.006513,0.002367
3570099116.761125,1.000000,2.000000,0.000513,0.009505,0.007106,0.002400
3570099116.771125,1.000000,2.000000,0.000593,0.010130,0.007698,0.002432
3570099116.781124,1.000000,2.000000,0.000679,0.010754,0.008291,0.002464
3570099116.791125,1.000000,2.000000,0.000771,0.011378,0.008883,0.002495
3570099116.801126,1.000000,2.000000,0.000869,0.012000,0.009475,0.002525
3570099116.811122,1.000000,2.000000,0.000972,0.012622,0.010067,0.002555
3570099116.821126,1.000000,2.000000,0.001082,0.013243,0.010658,0.002585
3570099116.831126,1.000000,2.000000,0.001197,0.013864,0.011250,0.002614
