Absolute Time,X,k_psi,x_in,uhat,uin,utilde
3570099595.092632,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.102633,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.112633,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.122634,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.132635,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.142631,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.152635,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.162635,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.172635,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.182636,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.192636,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.202636,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.212636,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.222636,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.232638,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.242637,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.252638,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.262638,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.272638,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.282638,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.292638,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.302639,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.312639,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.322639,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.332641,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.342638,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.352640,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.362643,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.372641,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.382641,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.392642,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.402642,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.412642,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.422644,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.432643,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.442641,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.452644,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.462645,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.472644,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.482646,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.492644,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.502646,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.512646,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.522646,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.532648,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.542644,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.552647,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.562647,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.572647,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
3570099595.582648,-0.000000,0.005000,0.000000,0.000000,0.000000,0.000000
