Absolute Time,X,k_psi,x_in,uhat,uin,utilde
3570098590.641875,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.651877,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.661876,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.671877,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.681876,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.691878,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.701879,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.711878,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.721878,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.731878,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.741879,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.751879,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.761880,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.771880,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.781879,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.791880,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.801882,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.811882,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.821882,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.831881,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.841881,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.851883,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.861883,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.871884,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.881884,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.891883,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.901884,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.911884,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.921885,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.931886,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.941885,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.951885,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.961885,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.971887,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.981886,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098590.991888,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098591.001888,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098591.011888,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098591.021888,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098591.031888,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098591.041889,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
3570098591.051889,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
