Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat
3571296688.330482,0.028821,0.007508,0.083969,-0.006798,0.055391,0.008079
3571296688.340484,-0.030300,0.008550,0.017574,-0.002376,0.034671,0.010415
3571296688.350482,-0.096214,0.006658,-0.022887,-0.001407,-0.021197,0.011631
3571296688.360483,0.034684,0.001641,0.112167,-0.002458,0.008636,0.010062
3571296688.370483,0.006521,0.003253,0.028375,0.003129,0.053317,0.010021
3571296688.380483,0.003671,0.003413,-0.067526,0.004358,-0.004838,0.012164
3571296688.390483,0.042771,0.003427,-0.030027,0.000850,-0.043396,0.011369
3571296688.400480,0.112624,0.005347,-0.061734,-0.000660,0.009105,0.008726
3571296688.410484,0.004332,0.010581,-0.053628,-0.003643,0.038494,0.008768
3571296688.420484,0.003975,0.010280,-0.042003,-0.006086,-0.043101,0.010245
3571296688.430485,0.068504,0.009976,0.015433,-0.007845,-0.002069,0.007667
3571296688.440486,-0.050101,0.012834,0.000206,-0.006716,-0.017148,0.007212
3571296688.450485,0.053003,0.009769,0.035671,-0.006385,-0.052123,0.006040
3571296688.460485,-0.020567,0.011881,0.062895,-0.004340,0.002313,0.003213
3571296688.470485,0.054988,0.010302,-0.044487,-0.001065,0.051793,0.003173
3571296688.480486,0.037323,0.012486,-0.069910,-0.003187,0.004656,0.005553
3571296688.490486,0.080948,0.013702,0.051662,-0.006447,0.131082,0.005521
3571296688.500484,0.005218,0.016988,-0.062107,-0.003619,-0.024885,0.011668
3571296688.510486,-0.016690,0.016420,-0.049896,-0.006478,-0.052529,0.009914
3571296688.520488,-0.019933,0.014810,0.063203,-0.008604,-0.011903,0.006891
3571296688.530488,-0.053578,0.013121,-0.055230,-0.005109,0.007505,0.005989
3571296688.540488,0.021578,0.009873,-0.011208,-0.007560,0.046857,0.006076
3571296688.550488,-0.007720,0.010447,0.074059,-0.007746,0.099051,0.008082
3571296688.560489,-0.074992,0.009566,0.047443,-0.003763,-0.029461,0.012546
3571296688.570488,0.120979,0.005445,0.014927,-0.001273,0.078346,0.010528
3571296688.580489,0.010537,0.011083,-0.090789,-0.000489,0.109633,0.013869
3571296688.590490,0.014326,0.011061,-0.081455,-0.004900,0.086778,0.018585
3571296688.600485,0.000772,0.011225,-0.061715,-0.008643,0.061271,0.021971
3571296688.610489,-0.036088,0.010720,0.009425,-0.011243,-0.022882,0.023956
3571296688.620491,-0.038960,0.008440,0.021418,-0.010248,0.056724,0.021739
3571296688.630490,0.004282,0.006132,0.090399,-0.008716,-0.118516,0.023512
3571296688.640491,-0.060225,0.006042,0.089643,-0.003893,-0.039412,0.016641
3571296688.650490,-0.073689,0.002811,0.098029,0.000660,-0.028546,0.013947
3571296688.660491,-0.122957,-0.000920,0.080561,0.005402,-0.005360,0.011905
3571296688.670490,0.041086,-0.006875,-0.007907,0.009062,-0.112753,0.011088
3571296688.680492,-0.112511,-0.004539,-0.039318,0.008231,-0.041928,0.005061
3571296688.690492,0.055990,-0.009809,-0.002475,0.005907,-0.023872,0.002769
3571296688.700489,0.081434,-0.006604,0.052105,0.005494,0.056825,0.001463
3571296688.710492,-0.065617,-0.002312,-0.008502,0.007763,-0.023808,0.004159
3571296688.720492,-0.093601,-0.005402,-0.002755,0.006966,-0.049308,0.002793
3571296688.730492,-0.029003,-0.009707,-0.007370,0.006487,0.081262,0.000244
3571296688.740494,-0.025650,-0.010652,0.034177,0.005807,0.027878,0.004190
3571296688.750493,-0.029919,-0.011389,0.009761,0.007186,-0.015659,0.005348
3571296688.760493,0.004562,-0.012298,-0.007289,0.007307,0.052601,0.004326
3571296688.770493,-0.049517,-0.011481,-0.002377,0.006590,0.036871,0.006686
3571296688.780494,-0.222054,-0.013341,-0.008121,0.006148,0.024327,0.008170
3571296688.790495,-0.026817,-0.023528,-0.000909,0.005446,-0.065033,0.008973
3571296688.800491,0.003203,-0.023699,0.010607,0.005131,0.018673,0.005375
3571296688.810494,0.128625,-0.022397,-0.057600,0.005393,-0.029567,0.006029
3571296688.820496,0.060838,-0.015040,0.113004,0.002315,-0.077395,0.004297
3571296688.830495,-0.060934,-0.011346,-0.096254,0.007709,-0.027447,0.000307
3571296688.840497,0.117752,-0.013770,-0.005688,0.002635,-0.049262,-0.001061
3571296688.850495,0.055879,-0.007361,0.055670,0.002224,0.055515,-0.003432
3571296688.860497,0.005866,-0.004280,-0.019802,0.004826,-0.022261,-0.000577
3571296688.870496,-0.010542,-0.003787,0.050060,0.003620,0.003586,-0.001650
3571296688.880496,-0.055969,-0.004119,0.030305,0.005881,0.013560,-0.001413
3571296688.890497,0.098100,-0.006651,-0.078649,0.007069,0.046481,-0.000698
3571296688.900493,0.072160,-0.001544,0.036022,0.002885,0.044682,0.001592
3571296688.910498,-0.035512,0.002050,-0.027375,0.004496,0.085102,0.003691
3571296688.920498,0.020741,0.000218,-0.024882,0.002936,0.074094,0.007668
3571296688.930498,-0.069451,0.001219,-0.047484,0.001573,0.052278,0.010928
3571296688.940498,-0.007046,-0.002229,-0.015097,-0.000827,0.023522,0.012973
3571296688.950497,0.022564,-0.002465,0.072359,-0.001531,-0.009244,0.013520
3571296688.960498,0.071951,-0.001247,0.064082,0.002065,-0.064413,0.012441
3571296688.970499,0.038978,0.002322,-0.029517,0.005083,0.009356,0.008716
3571296688.980500,0.065185,0.004110,0.006821,0.003390,-0.086696,0.008763
3571296688.990500,-0.061112,0.007089,-0.076522,0.003551,0.031931,0.004116
3571296689.000495,0.021661,0.003764,0.050688,-0.000360,-0.033082,0.005476
3571296689.010500,0.048999,0.004637,0.008290,0.002123,-0.022411,0.003597
3571296689.020501,0.015319,0.006802,-0.027982,0.002418,-0.089453,0.002326
3571296689.030500,-0.061403,0.007218,0.068172,0.000929,-0.110777,-0.002163
3571296689.040502,-0.064290,0.003872,-0.068545,0.004204,-0.055179,-0.007489
3571296689.050501,-0.033557,0.000547,-0.058635,0.000652,-0.058235,-0.009857
3571296689.060501,-0.102717,-0.001117,0.001264,-0.002244,-0.056749,-0.012265
3571296689.070502,-0.015812,-0.006075,-0.060236,-0.002078,0.039986,-0.014490
3571296689.080503,-0.021328,-0.006554,0.003692,-0.004920,-0.133688,-0.011888
3571296689.090503,0.043506,-0.007279,0.006621,-0.004505,0.064690,-0.017887
3571296689.100499,-0.039350,-0.004805,0.006638,-0.003967,-0.099371,-0.013922
3571296689.110501,0.116744,-0.006494,-0.019741,-0.003454,-0.116240,-0.018152
3571296689.120503,-0.001393,-0.000486,0.069856,-0.004252,-0.084051,-0.023013
3571296689.130503,0.035392,-0.000532,-0.080826,-0.000639,0.144364,-0.026079
3571296689.140504,0.003513,0.001219,0.018449,-0.004552,-0.117649,-0.017846
3571296689.150503,0.011543,0.001330,0.065341,-0.003433,-0.028486,-0.022787
3571296689.160505,0.035101,0.001827,-0.036019,-0.000079,0.053181,-0.023147
3571296689.170504,0.075589,0.003449,-0.020692,-0.001833,0.019168,-0.019500
3571296689.180503,-0.030278,0.006968,-0.076266,-0.002753,0.006815,-0.017680
3571296689.190505,-0.028398,0.005152,0.039584,-0.006340,0.024215,-0.016545
3571296689.200501,0.001883,0.003516,0.096997,-0.004103,-0.004832,-0.014611
3571296689.210505,0.101517,0.003436,0.100268,0.000828,-0.037414,-0.014184
3571296689.220507,-0.171471,0.008220,-0.092815,0.005679,-0.028824,-0.015368
3571296689.230506,-0.004255,-0.000543,-0.072349,0.000878,-0.142030,-0.016079
3571296689.240507,0.046620,-0.000726,-0.008031,-0.002692,-0.081681,-0.022286
3571296689.250507,-0.134250,0.001582,0.019910,-0.002951,0.065348,-0.025262
3571296689.260507,-0.118101,-0.005045,0.110686,-0.001835,0.071205,-0.020919
3571296689.270507,0.023898,-0.010563,0.123701,0.003656,-0.009949,-0.016487
3571296689.280508,-0.072800,-0.008887,0.025396,0.009516,0.044947,-0.016222
3571296689.290507,-0.006275,-0.012010,-0.043552,0.010297,-0.039279,-0.013287
3571296689.300504,-0.106952,-0.011736,0.051898,0.007678,-0.029030,-0.014599
3571296689.310509,-0.018366,-0.016386,-0.058082,0.009841,0.043744,-0.015351
3571296689.320510,-0.012106,-0.016491,-0.026565,0.006535,-0.082771,-0.012512
3571296689.330508,-0.033260,-0.016284,-0.060210,0.004927,0.039238,-0.015983
3571296689.340511,-0.028568,-0.017120,0.025578,0.001755,0.008442,-0.013335
3571296689.350509,-0.057721,-0.017687,-0.003871,0.002922,0.028341,-0.012311
3571296689.360510,-0.058397,-0.019648,0.018476,0.002595,-0.071713,-0.010361
3571296689.370510,-0.041970,-0.021547,-0.052332,0.003375,0.043701,-0.013388
3571296689.380510,0.024814,-0.022554,-0.012648,0.000663,-0.068670,-0.010638
3571296689.390511,-0.088730,-0.020253,0.014803,0.000019,0.072494,-0.013502
3571296689.400507,0.082860,-0.023603,-0.030311,0.000744,-0.038251,-0.009339
3571296689.410511,0.050486,-0.018420,-0.036807,-0.000766,0.072195,-0.010776
3571296689.420511,0.075507,-0.015068,0.084643,-0.002520,-0.044314,-0.006751
3571296689.430512,-0.037704,-0.010657,-0.102431,0.001735,-0.031930,-0.008602
3571296689.440512,0.002685,-0.011982,-0.053129,-0.003341,-0.003369,-0.009762
3571296689.450513,-0.062340,-0.011273,-0.124904,-0.005766,0.049667,-0.009474
3571296689.460514,0.011047,-0.013770,-0.072904,-0.011575,-0.005725,-0.006608
3571296689.470512,0.028505,-0.012567,-0.010751,-0.014567,0.036810,-0.006577
3571296689.480513,-0.124235,-0.010570,-0.027211,-0.014382,0.037975,-0.004469
3571296689.490513,-0.026846,-0.016120,0.063989,-0.015010,0.052262,-0.002401
3571296689.500510,0.011377,-0.016652,0.036293,-0.011159,0.004468,0.000272
3571296689.510513,-0.005575,-0.015293,-0.085928,-0.008845,0.020639,0.000487
3571296689.520514,0.037871,-0.014826,-0.012611,-0.012605,0.069231,0.001483
3571296689.530514,0.048382,-0.012263,0.052125,-0.012607,-0.068511,0.004807
3571296689.540515,0.040078,-0.009311,0.111217,-0.009451,0.038457,0.001251
3571296689.550515,-0.031139,-0.006908,-0.072710,-0.003566,0.003805,0.003081
3571296689.560515,-0.076571,-0.008094,0.039040,-0.006937,0.008607,0.003135
3571296689.570515,-0.079650,-0.011439,0.001140,-0.004694,-0.123467,0.003420
3571296689.580517,-0.012419,-0.014773,0.010267,-0.004408,-0.023338,-0.002759
3571296689.590517,0.010636,-0.014666,-0.033225,-0.003690,0.087792,-0.003766
3571296689.600511,0.080014,-0.013439,0.066534,-0.005130,0.025135,0.000702
3571296689.610516,-0.114139,-0.008888,0.024335,-0.001633,0.042367,0.001905
3571296689.620517,-0.022885,-0.014027,-0.013620,-0.000365,0.031105,0.003895
3571296689.630517,-0.039161,-0.014467,0.046296,-0.001010,-0.078411,0.005244
3571296689.640517,0.050804,-0.015679,0.035178,0.001300,0.032824,0.001182
3571296689.650518,-0.041681,-0.012444,0.028236,0.002956,-0.100738,0.002737
3571296689.660518,-0.106872,-0.013876,-0.017306,0.004193,0.001549,-0.002303
3571296689.670518,-0.082365,-0.018420,0.015782,0.003149,-0.053037,-0.002117
3571296689.680518,-0.069302,-0.021548,0.047502,0.003770,-0.041757,-0.004605
3571296689.690518,-0.012128,-0.023888,0.028700,0.005908,-0.063284,-0.006430
3571296689.700514,0.019854,-0.023326,0.050053,0.007026,-0.110393,-0.009224
3571296689.710519,-0.046017,-0.021230,0.022127,0.009133,0.013615,-0.014192
3571296689.720519,0.033660,-0.022450,-0.078836,0.009775,0.112843,-0.012875
3571296689.730520,0.066243,-0.019724,-0.061038,0.005459,0.045361,-0.006770
3571296689.740520,0.033951,-0.015541,-0.065147,0.002221,0.090844,-0.004239
3571296689.750520,0.156707,-0.013136,0.006041,-0.001062,0.045644,0.000399
3571296689.760521,-0.094680,-0.004859,-0.058592,-0.000714,0.114137,0.002619
3571296689.770521,-0.010932,-0.009245,0.027244,-0.003536,0.104930,0.008084
