Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat
3571296975.438230,-3.823946,-0.992417,1.323114,0.249478,2.232516,-0.607152
3571296975.448231,-1.197382,-1.131311,-1.839734,0.300689,10.042907,-0.469606
3571296975.458231,-1.509610,-1.133457,3.571645,0.195437,-1.747356,0.043247
3571296975.468230,-2.639532,-1.150452,-3.128928,0.360259,-2.420371,-0.043238
3571296975.478230,0.681122,-1.221912,-2.814559,0.189364,-1.963814,-0.158678
3571296975.488233,0.884618,-1.127709,2.823945,0.042652,2.201781,-0.246581
3571296975.498232,-3.803888,-1.030478,-1.062563,0.177248,-5.298149,-0.126979
3571296975.508233,1.521561,-1.167040,0.747874,0.117256,0.898488,-0.379218
3571296975.518233,-5.824802,-1.037180,-0.512835,0.148599,4.678761,-0.317252
3571296975.528234,7.658155,-1.269395,0.122659,0.116597,2.003385,-0.073402
3571296975.538232,1.173152,-0.834871,3.244754,0.116126,-0.932614,0.028687
3571296975.548234,0.861046,-0.736307,1.464131,0.269648,5.605161,-0.017299
3571296975.558233,0.514854,-0.658016,-3.529963,0.328999,1.740757,0.258177
3571296975.568233,-2.336549,-0.601806,-5.559902,0.140200,2.728713,0.332309
3571296975.578234,1.425092,-0.686431,-4.809769,-0.138999,-2.345566,0.451297
3571296975.588234,3.297220,-0.582277,-4.511767,-0.367313,1.553871,0.316918
3571296975.598234,2.099389,-0.394280,-3.399743,-0.569893,1.790266,0.379132
3571296975.608236,6.518576,-0.273641,1.534201,-0.708683,2.785957,0.450062
3571296975.618234,-0.124499,0.057849,-3.633376,-0.600489,-3.824786,0.566405
3571296975.628235,0.971184,0.048861,-2.437176,-0.749633,0.352303,0.354475
3571296975.638236,4.741110,0.092820,5.592109,-0.831226,-0.445920,0.356229
3571296975.648237,0.671478,0.319351,0.365361,-0.516691,-0.783057,0.318869
3571296975.658237,0.013134,0.336846,-1.274644,-0.472375,2.415212,0.266694
3571296975.668237,-5.290671,0.320813,0.444893,-0.512823,3.761805,0.373120
3571296975.678236,2.127264,0.048305,2.824012,-0.466619,0.487026,0.540483
3571296975.688236,-3.846472,0.148690,1.899836,-0.305483,-3.917079,0.540229
3571296975.698238,-0.097837,-0.046546,-3.607682,-0.199055,1.023367,0.324796
3571296975.708238,-1.711653,-0.050222,-4.132762,-0.365162,3.053254,0.360507
3571296975.718238,-5.468755,-0.130835,1.062105,-0.550024,-2.086322,0.493737
3571296975.728239,-0.012665,-0.390019,-0.722363,-0.471491,-0.622782,0.369802
3571296975.738238,-2.933480,-0.371418,-0.285117,-0.482646,1.461882,0.323003
3571296975.748239,2.348788,-0.497424,2.158546,-0.473367,3.098895,0.380153
3571296975.758239,0.503801,-0.358161,-7.657073,-0.346010,2.686656,0.514662
3571296975.768239,4.449925,-0.316056,1.753705,-0.703711,-3.925670,0.622880
3571296975.778239,1.505888,-0.083886,-3.593702,-0.584999,7.985599,0.403110
3571296975.788241,-0.335121,-0.007170,5.676544,-0.732509,-0.726760,0.775249
3571296975.798239,-5.126526,-0.023106,-2.060869,-0.418766,0.794583,0.704788
3571296975.808240,-0.490139,-0.273271,2.404549,-0.498761,3.277264,0.711807
3571296975.818241,2.032476,-0.282859,0.523462,-0.357978,5.934505,0.839769
3571296975.828240,-1.666989,-0.170437,-0.349761,-0.313866,2.476828,1.091699
3571296975.838241,2.972122,-0.243313,0.318970,-0.316808,0.381641,1.163201
3571296975.848241,2.733263,-0.087534,3.775897,-0.285306,-0.308282,1.129048
3571296975.858242,6.013092,0.049602,4.223340,-0.086186,-7.632255,1.062689
3571296975.868242,2.076850,0.341250,6.867601,0.124942,-4.559659,0.641471
3571296975.878241,-0.284830,0.424956,-4.803892,0.452919,-0.415450,0.389486
3571296975.888243,-5.223616,0.390157,1.730961,0.197708,0.213005,0.351436
3571296975.898243,-2.271089,0.115507,2.849114,0.273289,-0.306140,0.345815
3571296975.908244,0.103963,-0.001303,-1.770310,0.400100,1.215741,0.315064
3571296975.918243,-3.292389,0.002608,1.692016,0.293848,0.734875,0.360050
3571296975.928244,-1.951980,-0.159393,-1.935676,0.362236,1.363734,0.379480
3571296975.938244,1.734094,-0.248029,0.757886,0.249528,0.130590,0.428723
3571296975.948242,1.829859,-0.152367,1.284219,0.275256,-1.016499,0.415467
3571296975.958244,2.537492,-0.055225,-3.946768,0.325760,1.370490,0.346754
3571296975.968246,-4.882366,0.070006,1.945484,0.116725,1.494456,0.397776
3571296975.978244,3.047955,-0.172656,4.436218,0.205089,3.499773,0.452517
3571296975.988245,-2.132793,-0.014332,1.634958,0.410777,1.434729,0.602717
3571296975.998246,-4.908399,-0.118809,-4.622340,0.469658,2.105299,0.645185
3571296976.008245,4.030436,-0.352851,-0.147618,0.219910,6.661896,0.718435
3571296976.018245,4.161130,-0.140380,3.823897,0.202665,0.139828,1.010926
3571296976.028247,5.669462,0.068386,-0.866011,0.380234,1.910215,0.971451
3571296976.038246,1.287224,0.340847,0.232809,0.318291,1.280417,1.020239
