Absolute Time,X,Y,N,alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2
3571910485.690633,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.700636,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.710635,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.720635,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.730636,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.740636,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.750636,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.760637,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.770636,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.780637,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.790637,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.800640,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.810639,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.820639,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.830639,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.840639,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.850640,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.860641,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.870639,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.880640,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.890641,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
3571910485.900642,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
