Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat,lost
3572009595.722591,-0.004532,0.004243,0.047911,0.004993,0.041795,-0.000300,1.000000
3572009595.732592,-0.024411,0.003986,-0.029060,0.006268,0.005332,0.000950,1.000000
3572009595.742592,-0.061545,0.003149,0.036551,0.005229,-0.011706,0.001088,1.000000
3572009595.752593,0.018962,0.001239,-0.022007,0.006161,0.071814,0.000718,1.000000
3572009595.762591,0.017089,0.001764,-0.052658,0.005334,0.038554,0.002830,1.000000
3572009595.772593,-0.007983,0.002219,-0.040107,0.003625,0.015968,0.003903,1.000000
3572009595.782594,-0.003129,0.001919,0.008781,0.002336,0.005333,0.004280,1.000000
3572009595.792594,-0.020737,0.001771,-0.077946,0.002530,-0.033456,0.004332,1.000000
3572009595.802593,-0.018783,0.001108,0.024953,0.000155,0.030177,0.003234,1.000000
3572009595.812593,-0.004680,0.000521,-0.027337,0.000890,0.021086,0.004048,1.000000
3572009595.822595,-0.037405,0.000368,-0.058557,0.000059,0.008647,0.004572,1.000000
3572009595.832595,-0.035138,-0.000747,0.005961,-0.001672,0.087610,0.004714,1.000000
3572009595.842597,-0.019301,-0.001763,-0.055450,-0.001446,-0.009044,0.007191,1.000000
3572009595.852595,-0.092396,-0.002282,-0.034434,-0.003041,0.014427,0.006741,1.000000
3572009595.862596,0.014954,-0.004946,-0.022458,-0.003969,-0.028045,0.006998,1.000000
3572009595.872597,0.016806,-0.004359,0.033491,-0.004516,0.013925,0.005991,1.000000
3572009595.882596,-0.005473,-0.003734,0.064251,-0.003394,0.003199,0.006252,1.000000
3572009595.892596,-0.020726,-0.003786,0.004081,-0.001394,0.048789,0.006188,1.000000
3572009595.902596,0.035224,-0.004288,-0.022949,-0.001232,0.004088,0.007476,1.000000
3572009595.912596,-0.046446,-0.003121,0.028999,-0.001874,0.009155,0.007406,1.000000
3572009595.922598,-0.016587,-0.004402,0.023855,-0.000962,0.019598,0.007488,1.000000
3572009595.932597,-0.030665,-0.004764,0.024510,-0.000229,0.033589,0.007877,1.000000
