x_noise,y_noise
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000016,0.000004
0.000066,0.000016
0.000147,0.000036
0.000262,0.000065
0.000410,0.000101
0.000590,0.000145
0.000803,0.000198
0.001048,0.000258
0.001327,0.000327
0.001638,0.000404
0.001982,0.000488
0.002358,0.000581
0.002767,0.000682
0.003209,0.000791
0.003684,0.000908
0.004191,0.001033
0.004731,0.001166
0.005303,0.001307
0.005909,0.001456
0.006546,0.001613
0.007217,0.001778
0.007920,0.001952
0.008655,0.002133
0.009424,0.002322
0.010225,0.002519
0.011058,0.002725
0.011924,0.002938
0.012822,0.003160
0.013753,0.003389
0.014717,0.003627
0.015713,0.003872
0.016742,0.004126
0.017803,0.004387
0.018896,0.004657
0.020022,0.004934
0.021181,0.005220
0.022372,0.005513
0.023595,0.005815
0.024851,0.006125
0.026139,0.006442
0.027460,0.006768
0.028813,0.007102
0.030198,0.007443
0.031616,0.007793
0.033066,0.008151
0.034548,0.008517
0.036063,0.008890
0.037610,0.009272
0.039189,0.009662
0.040801,0.010060
0.042445,0.010465
0.044121,0.010879
0.045829,0.011301
0.047569,0.011731
0.049342,0.012168
0.051147,0.012614
0.052983,0.013068
0.054852,0.013530
0.056753,0.014000
0.058687,0.014477
0.060652,0.014963
0.062649,0.015457
0.064678,0.015959
0.066740,0.016469
0.068833,0.016986
0.070958,0.017512
0.073115,0.018046
0.075304,0.018588
0.077525,0.019138
0.079778,0.019696
0.082062,0.020261
0.084379,0.020835
0.086727,0.021417
0.089107,0.022007
0.091519,0.022605
0.093962,0.023211
0.096437,0.023825
0.098944,0.024446
0.101483,0.025076
0.104053,0.025714
0.106654,0.026360
0.109287,0.027014
0.111952,0.027676
0.114648,0.028346
0.117376,0.029024
0.120135,0.029709
0.122925,0.030403
0.125747,0.031105
0.128600,0.031815
0.131484,0.032533
0.134400,0.033259
0.137347,0.033993
0.140325,0.034735
0.143334,0.035485
0.146374,0.036242
0.149446,0.037008
0.152548,0.037782
0.155681,0.038564
0.158846,0.039354
0.162041,0.040152
0.165268,0.040958
0.168525,0.041771
0.171813,0.042593
0.175131,0.043423
0.178481,0.044261
0.181861,0.045107
0.185272,0.045960
0.188713,0.046822
0.192185,0.047692
0.195688,0.048569
0.199221,0.049455
0.202784,0.050349
0.206378,0.051250
0.210002,0.052160
0.213656,0.053077
0.217341,0.054003
0.221056,0.054936
0.224801,0.055877
0.228576,0.056827
0.232381,0.057784
0.236216,0.058749
0.240081,0.059722
0.243976,0.060703
0.247901,0.061692
0.251855,0.062689
0.255840,0.063694
0.259854,0.064706
0.263897,0.065727
0.267970,0.066756
0.272073,0.067792
0.276205,0.068836
0.280366,0.069888
0.284557,0.070948
0.288777,0.072016
0.293027,0.073092
0.297305,0.074175
0.301613,0.075267
0.305949,0.076366
0.310315,0.077473
0.314709,0.078588
0.319132,0.079711
0.323584,0.080841
0.328065,0.081979
0.332574,0.083125
0.337112,0.084279
0.341678,0.085441
0.346273,0.086610
0.350896,0.087787
0.355548,0.088972
0.360227,0.090164
0.364935,0.091364
0.369671,0.092572
0.374435,0.093788
0.379227,0.095011
0.384046,0.096241
0.388894,0.097480
0.393769,0.098726
0.398671,0.099979
0.403602,0.101241
0.408559,0.102509
0.413544,0.103786
0.418557,0.105069
0.423596,0.106361
0.428663,0.107660
0.433757,0.108966
0.438877,0.110280
0.444025,0.111601
0.449199,0.112929
0.454400,0.114265
0.459628,0.115609
0.464882,0.116959
0.470163,0.118317
0.475470,0.119683
0.480804,0.121055
0.486163,0.122435
0.491549,0.123822
0.496960,0.125216
0.502398,0.126618
0.507861,0.128026
0.513350,0.129442
0.518864,0.130865
0.524404,0.132294
0.529970,0.133731
0.535561,0.135175
0.541177,0.136626
0.546818,0.138084
0.552484,0.139548
0.558175,0.141020
0.563891,0.142498
0.569631,0.143983
0.575396,0.145475
0.581186,0.146974
0.586999,0.148479
0.592838,0.149991
0.598700,0.151510
0.604586,0.153035
0.610496,0.154566
0.616430,0.156105
0.622388,0.157649
0.628369,0.159200
0.634374,0.160757
0.640402,0.162321
0.646454,0.163891
0.652528,0.165467
0.658625,0.167049
0.664746,0.168637
0.670889,0.170231
0.677054,0.171831
0.683242,0.173438
0.689453,0.175050
0.695686,0.176667
0.701940,0.178291
0.708217,0.179920
0.714516,0.181555
0.720836,0.183196
0.727178,0.184842
0.733541,0.186493
0.739925,0.188150
0.746331,0.189812
0.752758,0.191479
0.759205,0.193152
0.765674,0.194829
0.772162,0.196512
0.778672,0.198199
0.785201,0.199891
0.791751,0.201588
0.798321,0.203290
0.804910,0.204996
0.811519,0.206707
0.818148,0.208422
0.824796,0.210142
0.831463,0.211866
0.838150,0.213594
0.844855,0.215326
0.851579,0.217062
0.858321,0.218802
0.865082,0.220546
0.871861,0.222293
0.878658,0.224044
0.885473,0.225798
0.892305,0.227556
0.899155,0.229317
0.906023,0.231081
0.912907,0.232848
0.919809,0.234618
0.926727,0.236390
0.933662,0.238166
0.940613,0.239943
0.947580,0.241724
0.954564,0.243506
0.961563,0.245291
0.968578,0.247078
0.975608,0.248866
0.982653,0.250657
0.989713,0.252449
0.996789,0.254242
1.003878,0.256037
1.010982,0.257833
1.018100,0.259630
1.025233,0.261428
1.032378,0.263227
1.039537,0.265026
1.046710,0.266826
1.053895,0.268626
1.061093,0.270426
1.068304,0.272226
1.075527,0.274026
1.082762,0.275826
1.090009,0.277625
1.097267,0.279423
1.104537,0.281221
1.111818,0.283017
1.119109,0.284813
1.126411,0.286606
1.133723,0.288399
1.141045,0.290190
1.148377,0.291979
1.155718,0.293765
1.163069,0.295550
1.170428,0.297332
1.177796,0.299112
