x_noise,y_noise
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000016,0.000004
0.000062,0.000015
0.000140,0.000034
0.000248,0.000061
0.000388,0.000095
0.000558,0.000137
0.000760,0.000186
0.000992,0.000243
0.001256,0.000308
0.001550,0.000380
0.001875,0.000459
0.002232,0.000547
0.002619,0.000642
0.003037,0.000744
0.003486,0.000854
0.003966,0.000972
0.004477,0.001097
0.005019,0.001229
0.005592,0.001370
0.006196,0.001517
0.006830,0.001673
0.007496,0.001836
0.008192,0.002006
0.008919,0.002184
0.009677,0.002370
0.010466,0.002563
0.011286,0.002764
0.012136,0.002972
0.013018,0.003188
0.013930,0.003411
0.014873,0.003642
0.015847,0.003881
0.016851,0.004127
0.017887,0.004381
0.018953,0.004642
0.020050,0.004910
0.021177,0.005187
0.022336,0.005470
0.023525,0.005762
0.024745,0.006060
0.025995,0.006367
0.027276,0.006681
0.028588,0.007002
0.029931,0.007331
0.031304,0.007668
0.032708,0.008012
0.034143,0.008363
0.035608,0.008723
0.037104,0.009089
0.038630,0.009464
0.040187,0.009845
0.041775,0.010235
0.043393,0.010632
0.045042,0.011036
0.046721,0.011448
0.048431,0.011867
0.050171,0.012294
0.051942,0.012729
0.053744,0.013171
0.055576,0.013621
0.057438,0.014078
0.059331,0.014543
0.061254,0.015015
0.063207,0.015495
0.065191,0.015982
0.067206,0.016477
0.069251,0.016979
0.071326,0.017489
0.073431,0.018007
0.075567,0.018532
0.077733,0.019065
0.079929,0.019605
0.082156,0.020153
0.084413,0.020708
0.086700,0.021271
0.089017,0.021841
0.091364,0.022419
0.093742,0.023005
0.096150,0.023598
0.098588,0.024198
0.101056,0.024807
0.103554,0.025422
0.106082,0.026046
0.108640,0.026677
0.111228,0.027315
0.113847,0.027961
0.116495,0.028615
0.119173,0.029276
0.121881,0.029944
0.124619,0.030621
0.127387,0.031304
0.130184,0.031996
0.133012,0.032695
0.135869,0.033401
0.138756,0.034115
0.141673,0.034837
0.144619,0.035566
0.147595,0.036303
0.150601,0.037048
0.153637,0.037800
0.156702,0.038559
0.159796,0.039326
0.162921,0.040101
0.166074,0.040883
0.169258,0.041673
0.172470,0.042470
0.175712,0.043275
0.178984,0.044088
0.182284,0.044908
0.185614,0.045736
0.188974,0.046571
0.192362,0.047414
0.195780,0.048264
0.199227,0.049122
0.202703,0.049988
0.206209,0.050861
0.209743,0.051742
0.213306,0.052630
0.216899,0.053526
0.220520,0.054429
0.224170,0.055340
0.227850,0.056259
0.231558,0.057185
0.235294,0.058118
0.239060,0.059060
0.242854,0.060008
0.246677,0.060965
0.250528,0.061929
0.254409,0.062900
0.258317,0.063879
0.262254,0.064865
0.266220,0.065859
0.270214,0.066861
0.274237,0.067870
0.278287,0.068886
0.282366,0.069911
0.286473,0.070942
0.290609,0.071981
0.294772,0.073028
0.298964,0.074082
0.303184,0.075144
0.307431,0.076213
0.311707,0.077289
0.316010,0.078373
0.320341,0.079465
0.324700,0.080564
0.329087,0.081670
0.333501,0.082784
0.337943,0.083906
0.342413,0.085034
0.346910,0.086171
0.351434,0.087314
0.355986,0.088465
0.360565,0.089624
0.365171,0.090789
0.369805,0.091963
0.374465,0.093143
0.379153,0.094331
0.383868,0.095526
0.388610,0.096729
0.393378,0.097939
0.398174,0.099156
0.402996,0.100381
0.407845,0.101612
0.412720,0.102852
0.417622,0.104098
0.422551,0.105351
0.427506,0.106612
0.432487,0.107880
0.437495,0.109156
0.442529,0.110438
0.447589,0.111728
0.452675,0.113025
0.457787,0.114328
0.462925,0.115639
0.468089,0.116958
0.473279,0.118283
0.478494,0.119615
0.483735,0.120954
0.489002,0.122301
0.494294,0.123654
0.499611,0.125014
0.504954,0.126382
0.510322,0.127756
0.515715,0.129137
0.521134,0.130525
0.526577,0.131920
0.532045,0.133321
0.537538,0.134730
0.543056,0.136145
0.548598,0.137567
0.554165,0.138996
0.559757,0.140432
0.565373,0.141874
0.571013,0.143322
0.576677,0.144778
0.582366,0.146240
0.588078,0.147708
0.593815,0.149183
0.599575,0.150665
0.605359,0.152152
0.611167,0.153647
0.616998,0.155147
0.622853,0.156654
0.628731,0.158168
0.634632,0.159687
0.640557,0.161213
0.646504,0.162745
0.652475,0.164283
0.658468,0.165827
0.664484,0.167377
0.670523,0.168933
0.676584,0.170495
0.682668,0.172062
0.688774,0.173636
0.694902,0.175216
0.701052,0.176801
0.707225,0.178392
0.713419,0.179988
0.719635,0.181590
0.725872,0.183198
0.732131,0.184811
0.738412,0.186429
0.744713,0.188053
0.751036,0.189682
0.757380,0.191316
0.763745,0.192955
0.770130,0.194600
0.776536,0.196249
0.782963,0.197903
0.789410,0.199562
0.795877,0.201226
0.802365,0.202895
0.808872,0.204568
0.815399,0.206246
0.821946,0.207928
0.828513,0.209615
0.835099,0.211306
0.841704,0.213001
0.848329,0.214700
0.854972,0.216404
0.861634,0.218111
0.868315,0.219822
0.875015,0.221537
0.881733,0.223256
0.888469,0.224978
0.895223,0.226703
0.901995,0.228433
0.908785,0.230165
0.915593,0.231900
0.922418,0.233639
0.929260,0.235380
0.936119,0.237124
0.942995,0.238871
0.949888,0.240621
0.956798,0.242373
0.963724,0.244128
0.970666,0.245884
0.977624,0.247643
0.984598,0.249404
0.991588,0.251167
0.998593,0.252931
1.005614,0.254697
1.012649,0.256464
1.019700,0.258233
1.026765,0.260003
1.033844,0.261774
1.040938,0.263546
1.048046,0.265319
1.055168,0.267092
1.062303,0.268866
1.069452,0.270640
1.076614,0.272414
1.083789,0.274188
1.090977,0.275962
