x_noise,y_noise
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
-0.000002,-0.000000
-0.000010,-0.000001
-0.000021,-0.000003
-0.000038,-0.000006
-0.000060,-0.000009
-0.000086,-0.000014
-0.000117,-0.000019
-0.000153,-0.000026
-0.000193,-0.000034
-0.000239,-0.000043
-0.000289,-0.000054
-0.000344,-0.000066
-0.000403,-0.000079
-0.000468,-0.000094
-0.000537,-0.000111
-0.000611,-0.000130
-0.000690,-0.000151
-0.000773,-0.000173
-0.000862,-0.000198
-0.000955,-0.000224
-0.001052,-0.000253
-0.001155,-0.000284
-0.001262,-0.000318
-0.001375,-0.000354
-0.001491,-0.000392
-0.001613,-0.000433
-0.001740,-0.000476
-0.001871,-0.000523
-0.002007,-0.000572
-0.002148,-0.000624
-0.002293,-0.000679
-0.002443,-0.000737
-0.002598,-0.000798
-0.002758,-0.000862
-0.002923,-0.000930
-0.003092,-0.001001
-0.003266,-0.001075
-0.003445,-0.001153
-0.003629,-0.001235
-0.003817,-0.001320
-0.004010,-0.001409
-0.004208,-0.001502
-0.004410,-0.001599
-0.004618,-0.001699
-0.004830,-0.001804
-0.005047,-0.001913
-0.005268,-0.002026
-0.005495,-0.002144
-0.005726,-0.002266
-0.005961,-0.002392
-0.006202,-0.002523
-0.006447,-0.002658
-0.006697,-0.002798
-0.006952,-0.002943
-0.007211,-0.003093
-0.007475,-0.003248
-0.007744,-0.003407
-0.008018,-0.003572
-0.008296,-0.003742
-0.008579,-0.003917
-0.008866,-0.004097
-0.009158,-0.004283
-0.009455,-0.004474
-0.009757,-0.004671
-0.010063,-0.004874
-0.010374,-0.005082
-0.010690,-0.005296
-0.011010,-0.005515
-0.011335,-0.005741
-0.011664,-0.005972
-0.011998,-0.006210
-0.012337,-0.006454
-0.012680,-0.006704
-0.013028,-0.006960
-0.013381,-0.007223
-0.013738,-0.007492
-0.014100,-0.007768
-0.014466,-0.008050
-0.014837,-0.008339
-0.015212,-0.008634
-0.015592,-0.008937
-0.015977,-0.009246
-0.016366,-0.009562
-0.016759,-0.009886
-0.017157,-0.010216
-0.017560,-0.010554
-0.017967,-0.010898
-0.018378,-0.011251
-0.018794,-0.011610
-0.019215,-0.011977
-0.019640,-0.012352
-0.020069,-0.012734
-0.020503,-0.013124
-0.020941,-0.013522
-0.021383,-0.013927
-0.021830,-0.014341
-0.022281,-0.014762
-0.022737,-0.015192
-0.023197,-0.015629
-0.023661,-0.016075
-0.024130,-0.016529
-0.024603,-0.016991
-0.025080,-0.017462
-0.025561,-0.017941
-0.026047,-0.018429
-0.026537,-0.018926
-0.027031,-0.019431
-0.027529,-0.019944
-0.028032,-0.020467
-0.028538,-0.020999
-0.029049,-0.021539
-0.029564,-0.022089
-0.030083,-0.022648
-0.030606,-0.023215
-0.031133,-0.023793
-0.031664,-0.024379
-0.032200,-0.024975
-0.032739,-0.025580
-0.033282,-0.026195
-0.033830,-0.026819
-0.034381,-0.027453
-0.034936,-0.028097
-0.035495,-0.028750
-0.036058,-0.029413
-0.036625,-0.030087
-0.037195,-0.030770
-0.037770,-0.031463
-0.038348,-0.032166
-0.038930,-0.032880
-0.039516,-0.033604
-0.040105,-0.034338
-0.040699,-0.035082
-0.041295,-0.035837
-0.041896,-0.036602
-0.042500,-0.037378
-0.043108,-0.038165
-0.043719,-0.038962
-0.044334,-0.039770
-0.044953,-0.040588
-0.045575,-0.041418
-0.046200,-0.042259
-0.046829,-0.043110
-0.047461,-0.043973
-0.048097,-0.044847
-0.048736,-0.045731
-0.049378,-0.046628
-0.050023,-0.047535
-0.050672,-0.048454
-0.051324,-0.049384
-0.051980,-0.050326
-0.052638,-0.051279
-0.053300,-0.052244
-0.053964,-0.053220
-0.054632,-0.054209
-0.055303,-0.055209
-0.055977,-0.056220
-0.056654,-0.057244
-0.057334,-0.058280
-0.058016,-0.059327
-0.058702,-0.060387
-0.059390,-0.061459
-0.060081,-0.062543
-0.060775,-0.063639
-0.061472,-0.064747
-0.062172,-0.065868
-0.062874,-0.067001
-0.063578,-0.068147
-0.064286,-0.069305
-0.064996,-0.070476
-0.065708,-0.071659
-0.066423,-0.072855
-0.067140,-0.074063
-0.067860,-0.075285
-0.068582,-0.076519
-0.069307,-0.077766
-0.070033,-0.079026
-0.070762,-0.080298
-0.071493,-0.081584
-0.072227,-0.082883
-0.072962,-0.084195
-0.073700,-0.085520
-0.074439,-0.086859
-0.075181,-0.088210
-0.075924,-0.089575
-0.076670,-0.090953
-0.077417,-0.092345
-0.078166,-0.093749
-0.078917,-0.095168
-0.079670,-0.096600
-0.080424,-0.098045
-0.081180,-0.099504
-0.081938,-0.100977
-0.082697,-0.102464
-0.083457,-0.103964
-0.084219,-0.105478
-0.084983,-0.107005
-0.085748,-0.108547
-0.086514,-0.110102
-0.087282,-0.111672
-0.088051,-0.113255
-0.088821,-0.114852
-0.089592,-0.116464
-0.090364,-0.118089
-0.091137,-0.119729
-0.091911,-0.121383
-0.092686,-0.123051
-0.093463,-0.124733
-0.094239,-0.126430
-0.095017,-0.128140
-0.095796,-0.129865
-0.096575,-0.131605
-0.097355,-0.133359
-0.098135,-0.135127
-0.098916,-0.136910
-0.099697,-0.138707
-0.100479,-0.140519
-0.101261,-0.142346
-0.102044,-0.144187
-0.102827,-0.146042
-0.103610,-0.147913
-0.104393,-0.149797
-0.105176,-0.151697
-0.105960,-0.153612
-0.106743,-0.155541
-0.107527,-0.157485
-0.108310,-0.159443
-0.109093,-0.161417
-0.109876,-0.163406
-0.110659,-0.165409
-0.111441,-0.167427
-0.112223,-0.169460
-0.113005,-0.171509
-0.113786,-0.173572
-0.114566,-0.175650
-0.115346,-0.177743
-0.116125,-0.179851
-0.116904,-0.181975
-0.117682,-0.184113
-0.118459,-0.186267
-0.119235,-0.188435
-0.120010,-0.190619
-0.120784,-0.192818
-0.121557,-0.195032
-0.122329,-0.197261
-0.123100,-0.199505
-0.123870,-0.201765
-0.124638,-0.204040
-0.125405,-0.206330
-0.126170,-0.208635
-0.126934,-0.210956
-0.127697,-0.213292
-0.128458,-0.215643
-0.129217,-0.218010
-0.129975,-0.220391
-0.130731,-0.222789
-0.131485,-0.225201
-0.132237,-0.227629
-0.132987,-0.230072
-0.133735,-0.232530
