x_noise,y_noise
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000023,0.000005
0.000093,0.000074
0.000275,0.000257
0.000634,0.000551
0.001169,0.000956
0.001881,0.001472
0.002769,0.002098
0.003829,0.002833
0.005061,0.003676
0.006462,0.004625
0.008028,0.005679
0.009757,0.006837
0.011646,0.008097
0.013693,0.009457
0.015896,0.010917
0.018250,0.012475
0.020755,0.014129
0.023408,0.015880
0.026207,0.017724
0.029150,0.019661
0.032234,0.021688
0.035457,0.023804
0.038817,0.026009
0.042310,0.028300
0.045934,0.030677
0.049688,0.033139
0.053567,0.035683
0.057571,0.038309
0.061697,0.041016
0.065942,0.043802
0.070304,0.046666
0.074780,0.049606
0.079369,0.052623
0.084068,0.055714
0.088875,0.058878
0.093787,0.062115
0.098803,0.065422
0.103921,0.068800
0.109137,0.072246
0.114450,0.075759
0.119858,0.079340
0.125359,0.082985
0.130951,0.086696
0.136631,0.090469
0.142397,0.094305
0.148248,0.098202
0.154182,0.102159
0.160196,0.106176
0.166289,0.110251
0.172459,0.114383
0.178703,0.118571
0.185020,0.122815
0.191408,0.127113
0.197866,0.131465
0.204390,0.135870
0.210980,0.140326
0.217634,0.144833
0.224349,0.149390
0.231125,0.153996
0.237959,0.158651
0.244849,0.163353
0.251795,0.168102
0.258793,0.172897
0.265844,0.177738
0.272944,0.182623
0.280093,0.187551
0.287288,0.192523
0.294528,0.197538
0.301812,0.202594
0.309137,0.207691
0.316504,0.212829
0.323909,0.218006
0.331351,0.223223
0.338829,0.228479
0.346342,0.233773
0.353888,0.239105
0.361465,0.244473
0.369073,0.249879
0.376709,0.255320
0.384373,0.260798
0.392063,0.266310
0.399778,0.271858
0.407517,0.277440
0.415278,0.283056
0.423059,0.288706
0.430861,0.294389
0.438681,0.300105
0.446519,0.305854
0.454373,0.311636
0.462242,0.317449
0.470125,0.323295
0.478021,0.329172
0.485929,0.335081
0.493848,0.341021
0.501777,0.346993
0.509714,0.352995
0.517660,0.359028
0.525612,0.365092
0.533571,0.371186
0.541535,0.377310
0.549503,0.383465
0.557474,0.389650
0.565448,0.395866
0.573424,0.402111
0.581402,0.408387
0.589379,0.414692
0.597357,0.421028
0.605333,0.427393
0.613308,0.433789
0.621281,0.440214
0.629250,0.446670
0.637217,0.453155
0.645179,0.459671
0.653137,0.466217
0.661090,0.472792
0.669038,0.479398
0.676979,0.486035
0.684915,0.492701
0.692844,0.499398
0.700765,0.506125
0.708680,0.512883
0.716587,0.519671
0.724485,0.526490
0.732376,0.533339
0.740258,0.540219
0.748131,0.547130
0.755996,0.554071
0.763851,0.561044
0.771697,0.568047
0.779534,0.575081
0.787362,0.582147
0.795179,0.589243
0.802988,0.596370
0.810786,0.603529
0.818575,0.610718
0.826354,0.617939
0.834124,0.625191
0.841884,0.632474
0.849634,0.639788
0.857374,0.647133
0.865105,0.654509
0.872827,0.661916
0.880539,0.669354
0.888243,0.676823
0.895937,0.684323
0.903622,0.691854
0.911298,0.699415
0.918966,0.707007
0.926625,0.714629
0.934276,0.722282
0.941920,0.729965
0.949555,0.737678
0.957182,0.745421
0.964803,0.753194
0.972416,0.760996
0.980022,0.768828
0.987621,0.776689
0.995214,0.784579
1.002801,0.792498
1.010382,0.800446
1.017957,0.808422
1.025527,0.816426
1.033092,0.824457
1.040652,0.832517
1.048207,0.840604
1.055758,0.848717
1.063305,0.856858
1.070849,0.865024
1.078389,0.873217
1.085926,0.881436
1.093460,0.889680
1.100991,0.897950
1.108520,0.906244
1.116048,0.914562
1.123573,0.922905
1.131097,0.931271
1.138620,0.939661
1.146142,0.948073
1.153664,0.956508
1.161185,0.964965
1.168706,0.973444
1.176228,0.981945
1.183750,0.990466
1.191272,0.999008
1.198796,1.007569
1.206321,1.016151
1.213848,1.024752
1.221376,1.033372
1.228907,1.042010
1.236439,1.050666
1.243975,1.059339
1.251513,1.068030
1.259054,1.076737
1.266598,1.085461
1.274146,1.094200
1.281697,1.102955
1.289252,1.111725
1.296811,1.120509
1.304375,1.129307
1.311943,1.138119
